,long,short,source,unit
1,unique identifier of sampling site,SITEYR,tbl_Spring_PHI,NA
2,field comments about site,COMMENTS,tbl_Spring_PHI,NA
3,indicator if temperature logger was deployed (y=yes; n=no),NO_TL,tbl_Spring_PHI,Y=yes; N=no
4,serial code number of temperature logger (if deployed),TLOG_NO,tbl_Spring_PHI,NA
5,presence/absence of culvert in sample reach,Culvert_Pres,tbl_Spring_PHI,"0 = absence, 1 = presence"
6,presence/absence of culvert in sample reach,CULVPRES,tbl_Spring_PHI,"0 = absence, 1 = presence"
7,indicates if electrofishing could be conducted in culvert during summer visit,Culvert_Samp,tbl_Spring_PHI,NA
8,indicates if electrofishing could be conducted in culvert during summer visit,CULVSAMP,tbl_Spring_PHI,NA
9,diameter of culvert,culvwid,tbl_Spring_PHI,meters
10,length of culvert if present,culvlen,tbl_Spring_PHI,meters
11,wetted width of stream at bottom of 75m sampling reach,STWID_0,tbl_Spring_PHI,meters
12,wetted width of stream at top of 75m sampling reach,STWID_75,tbl_Spring_PHI,meters
13,straight line length of segment,SEG_LEN,tbl_Spring_PHI,meters
14,water quality duplicate or blank sample collected for quality control,QC_CK,tbl_Spring_PHI,Y=yes; N=no
15,water quality qc sample collected.,QC_Sample,tbl_Spring_PHI,1=yes; 0=no
16,8 digit watershed code for sampled site,QC_CODE,tbl_Spring_PHI,NA
17,stream segment id number for quality control sample,QC_SEG,tbl_Spring_PHI,NA
18,site type for qc sample (r=random; s=sentinel; n=national park service; t=targeted),QC_TYPE,tbl_Spring_PHI,R=random; S=sentinel; N=National Park Service; T=targeted
19,year of quality control sample,QC_YR,tbl_Spring_PHI,NA
20,sample is a blank or a duplicate,BLANKDUP,tbl_Spring_PHI,NA
21,distance to nearest road,DIST_RD,tbl_Spring_PHI,meters
22,aesthetic rating ranging from 0 (lowest) to 20 (highest) rating visual appeal of stream and absence of trash,AESTHET,tbl_Spring_PHI,0-20; 0 is lowest and 20 is highest
23,riparian vegetation width on left bank,RV_WID_L,tbl_Spring_PHI,meters
24,riparian vegetation width on right bank,RV_WID_R,tbl_Spring_PHI,meters
25,adjacent land cover left bank,ADJ_CV_L,tbl_Spring_PHI,categorical; fr=forest; of=old field; em=emergent vegetation; ln=mowed lawn; tg=tall grass; lo=logged area; sl=bare soil; rr=railroad;pv=paved road; pk=parking lot; gr=gravel road; di=dirt road; pa=pasture; or=orchard; cp=cropland; ho=housing
26,adjacent land cover righ bank,ADJ_CV_R,tbl_Spring_PHI,categorical; fr=forest; of=old field; em=emergent vegetation; ln=mowed lawn; tg=tall grass; lo=logged area; sl=bare soil; rr=railroad;pv=paved road; pk=parking lot; gr=gravel road; di=dirt road; pa=pasture; or=orchard; cp=cropland; ho=housing
27,riparian vegetation buffer broken on left bank (yes/no),RV_BUF_BL,tbl_Spring_PHI,"0 = no, i.e., absent; 1 = yes, i.e, present"
28,riparian vegetation buffer broken on left bank (yes/no),BufferBrk_L,tbl_Spring_PHI,"0 = no, i.e., absent; 1 = yes, i.e, present"
29,riparian vegetation buffer broken on right bank (yes/no),RV_BUF_BR,tbl_Spring_PHI,"0 = no, i.e., absent; 1 = yes, i.e, present"
30,riparian vegetation buffer broken on right bank (yes/no),BufferBrk_R,tbl_Spring_PHI,"0 = no, i.e., absent; 1 = yes, i.e, present"
31,vegetation types on left bank in riparian buffer most to least common (g=grasses/forbes; r=regenerating deciduous/shrubs; y=young deciduous; m=mature deciduous; o=old deciduous; a=regenerating coniferous; b=yound coniferous; c=mature coniferous; d=lawn),VEG_T_1L,tbl_Spring_PHI,G=grasses/forbes; R=regenerating deciduous/shrubs; Y=young deciduous; M=mature deciduous; O=old deciduous; A=regenerating coniferous; B=young coniferous; C=mature coniferous; D=lawn
32,vegetation types on left bank in riparian buffer most to least common (g=grasses/forbes; r=regenerating deciduous/shrubs; y=young deciduous; m=mature deciduous; o=old deciduous; a=regenerating coniferous; b=yound coniferous; c=mature coniferous; d=lawn),VEG_T_2L,tbl_Spring_PHI,G=grasses/forbes; R=regenerating deciduous/shrubs; Y=young deciduous; M=mature deciduous; O=old deciduous; A=regenerating coniferous; B=young coniferous; C=mature coniferous; D=lawn
